company_symbol,company_name,quarter,year,current_value,previous_value,flow,flow_formula,foreign_ownership,max_allowed,investor_limit,reinvested_earnings_flow,net_profit_foreign_investor,distributed_profits_foreign_investor
2382,أديس,Q1,2025,2784952.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,7.7%,0.0%,0,,
2382,أديس,Q2,2025,2784952.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,7.7%,0.0%,0,,
2382,أديس,Q3,2025,2784952.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,7.7%,0.0%,0,,
2382,أديس,Q4,2025,2784952.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,7.7%,0.0%,0,,
1301,أسلاك,Q1,2025,355208.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,2.4%,0.0%,0,,
1301,أسلاك,Q2,2025,355208.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,2.4%,0.0%,0,,
1301,أسلاك,Q3,2025,355208.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,2.4%,0.0%,0,,
1301,أسلاك,Q4,2025,355208.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,2.4%,0.0%,0,,
1320,أنابيب السعودية,Q1,2025,360400469.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,4.24%,16.37%,0,,
1320,أنابيب السعودية,Q2,2025,360400469.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,4.24%,16.37%,0,,
1320,أنابيب السعودية,Q3,2025,360400469.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,4.24%,16.37%,0,,
1320,أنابيب السعودية,Q4,2025,360400469.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,4.24%,16.37%,0,,
2030,المصافي,Q1,2025,101618305.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,3.4%,0.0%,0,0.0,0.0
2030,المصافي,Q2,2025,101618305.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,3.4%,0.0%,0,-0.0,-0.0
2030,المصافي,Q3,2025,101618305.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,3.4%,0.0%,0,0.0,0.0
2030,المصافي,Q4,2025,101618305.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,3.4%,0.0%,0,,
1202,مبكو,Q1,2025,341502520.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,6.96%,0.0%,0,,
1202,مبكو,Q2,2025,341502520.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,6.96%,0.0%,0,,
1202,مبكو,Q3,2025,341502520.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,6.96%,0.0%,0,,
1202,مبكو,Q4,2025,341502520.0,,,ANNUAL 2025 only — add the prior annual or quarterly PDF to compute quarter-to-quarter flows,49.0%,6.96%,0.0%,0,,
